id,nombre,tipo,jurisdiccion,contacto,notas
ORG-001,Juzgado Civil y Comercial de San Cristóbal,Juzgado,Santa Fe,,
ORG-002,Centro de Mediación Judicial,Mediación,Santa Fe,,
